CASENUM,CLMSEX,CLMINSUR,SEATBELT,CLMAGE,LOSS,ATTORNEY
5,0,1,0,50,34.94,0
3,1,0,0,18,0.891,1
66,0,1,0,5,0.33,1
70,0,1,1,31,0.037,0
96,0,1,0,30,0.038,1
97,1,1,0,35,0.309,0
10,0,1,0,9,3.538,0
36,1,1,0,34,4.881,0
51,1,1,0,60,0.874,1
55,0,1,0,,0.35,1
61,1,1,0,37,6.19,0
148,0,1,0,41,19.61,0
150,0,1,0,7,1.678,1
150,1,1,0,40,0.673,0
169,1,1,0,37,0.143,1
171,1,0,0,9,0.053,1
334,1,1,0,58,0.05,1
360,0,1,0,58,0.758,0
376,0,1,0,3,0,1
401,1,1,0,38,4.754,0
479,0,,0,37,3.1,0
480,1,1,0,39,0.13,1
550,0,0,0,38,16.161,0
569,0,,0,30,0.609,0
580,0,1,0,54,10.04,1
608,1,1,0,3,0.787,1
603,0,1,0,61,0.15,1
606,0,1,0,0,0.405,0
607,0,1,0,40,0.405,1
630,0,1,0,,0.595,0
640,1,1,0,16,3.994,1
640,0,1,0,,0.337,1
685,0,1,0,9,0.603,1
700,1,1,0,35,1.673,0
710,1,1,0,35,4.751,0
766,1,1,0,17,3.538,0
775,1,0,0,41,3.185,0
805,1,1,0,50,3.7,0
819,0,1,0,33,0.386,1
838,0,1,0,9,1.97,0
851,0,1,0,34,0.904,1
871,1,0,0,33,8.09,0
905,1,1,0,46,8.09,0
941,1,1,0,55,13.1,1
971,0,1,0,5,0.46,1
61,1,1,0,,3.981,1
63,0,0,0,16,1.74,0
78,0,1,0,1,0,1
91,0,1,0,,1.003,0
0,0,1,0,40,3.1,0
4,1,1,0,19,3.777,0
54,0,1,0,54,0.975,1
70,1,1,0,,0.497,1
86,1,1,0,,0.335,1
178,1,1,0,60,1.669,0
195,0,1,0,30,33.633,0
301,1,1,0,,0.305,1
304,1,0,0,10,6.694,0
335,1,1,0,44,0.139,1
339,0,1,0,10,0.987,1
354,1,1,0,,0,1
359,0,1,0,,0.53,1
366,0,,,35,5.563,0
387,0,1,0,54,0.17,1
405,1,1,0,38,1.513,0
445,1,1,0,60,0.73,1
470,0,1,0,,3.638,1
505,0,1,0,30,0.08,1
530,1,0,0,17,0.31,1
590,0,1,0,4,0.3,0
607,0,1,0,56,44.06,0
608,0,1,0,63,1.6,0
614,0,1,0,55,0.895,0
664,0,1,0,47,0.441,0
670,0,1,0,0,0.445,1
740,0,1,0,5,3.5,0
743,0,1,0,38,0.909,1
780,1,1,0,,0,1
784,0,1,0,40,1.875,0
790,0,1,0,57,3.889,1
