user_id_order,isbn_id,rating,book_title,book_author,year_of_publication,publisher,isbn,user_id
0,0,0,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books,034545104X,276725
1,1,5,Rites of Passage,Judith Rae,2001,Heinle,155061224,276726
2,2,0,The Notebook,Nicholas Sparks,1996,Warner Books,446520802,276727
3,2,0,The Notebook,Nicholas Sparks,1996,Warner Books,446520802,278418
4,3,3,Help!: Level 1,Philip Prowse,1999,Cambridge University Press,052165615X,276729
4,4,6,The Amsterdam Connection : Level 4 (Cambridge English Readers),Sue Leather,2001,Cambridge University Press,521795028,276729
5,5,0,Les Particules Elementaires,Michel Houellebecq,1998,Flammarion,2080674722,276733
6,6,7,A Painted House,JOHN GRISHAM,2001,Doubleday,038550120X,276744
3,6,0,A Painted House,JOHN GRISHAM,2001,Doubleday,038550120X,278418
7,7,0,Lightning,Dean R. Koontz,1996,Berkley Publishing Group,425115801,276746
8,7,0,Lightning,Dean R. Koontz,1996,Berkley Publishing Group,425115801,277427
7,8,0,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,449006522,276746
9,8,8,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,449006522,278026
7,9,0,Dark Paradise,TAMI HOAG,1994,Bantam,553561618,276746
7,10,0,Night Sins,TAMI HOAG,1995,Bantam,055356451X,276746
3,10,0,Night Sins,TAMI HOAG,1995,Bantam,055356451X,278418
7,11,0,At the Edge,David Dun,2002,Pinnacle Books,786013990,276746
7,12,0,Make Them Cry,Kevin O'Brien,2002,Pinnacle Books,786014512,276746
10,13,9,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch,60517794,276747
11,13,7,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch,60517794,278843
10,14,0,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book,451192001,276747
10,15,0,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA),609801279,276747
10,16,9,Waiting to Exhale,Terry McMillan,1995,Pocket,671537458,276747
3,16,0,Waiting to Exhale,Terry McMillan,1995,Pocket,671537458,278418
10,17,8,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA,679776818,276747
10,18,7,How to Deal With Difficult People,Rick Brinkman,1995,Careertrack Inc.,943066433,276747
10,19,0,"Change Your Job, Change Your Life: High Impact Strategies for Finding Great Jobs in the Decade Ahead (Change Your Job Change Your Life, 7th ed)",Ronald L. Krannich,1999,Impact Publications,1570231028,276747
10,20,7,The Golden Rule of Schmoozing,Aye Jaye,1998,Listen &amp; Live Audio,1885408226,276747
12,21,6,Apricots on the Nile: A Memoir with Recipes,Colette Rossant,2002,Bloomsbury Publishing Plc,747558167,276748
13,22,8,Reise nach Ixtlan. Die Lehre des Don Juan.,Carlos Castaneda,1998,"Fischer (Tb.), Frankfurt",3596218098,276751
14,23,8,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,684867621,276754
15,23,8,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,684867621,276964
16,24,5,The Pillars of the Earth,Ken Follett,1996,Signet Book,451166892,276755
17,24,3,The Pillars of the Earth,Ken Follett,1996,Signet Book,451166892,99
18,25,0,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books,034544003X,276762
18,26,0,CLOUT,D. GIBBONS,2024,Avon,380000059,276762
18,27,5,See Jane Run,Joy Fielding,1992,Avon,380711524,276762
18,28,0,The Dark Half,Stephen King,1994,Signet Book,451167317,276762
18,29,0,House of the Sun (Shadowrun),Fanpro,2003,Fanpro,451454952,276762
18,30,0,God Game,Ralph Hayes,1983,Ingram Book Co,843920262,276762
18,31,0,"Vater Himmel, Mutter Erde.",Sue Harrison,1995,LÃ?Â¼bbe,3404122879,276762
18,32,0,Besiegt vom Sturm der Leidenschaft.,Patricia Potter,2002,LÃ?Â¼bbe,3404182928,276762
18,33,0,Sturm der Liebe.,Rosemary Rogers,2001,Droemer Knaur,3426690179,276762
18,34,0,"Ich, Prinzessin aus dem Hause Al Saud. Ein Leben hinter tausend Schleiern.",Jean P. Sasson,1994,Goldmann,3442424216,276762
18,35,0,Der BronzehÃ?Â¤ndler.,Hanns Kneifel,1996,Goldmann,3442425573,276762
18,36,8,Die zweite Haut.,Dean Koontz,1995,Heyne,3453092007,276762
18,37,0,Der Spion und die Zauberin.,Susan King,2000,Heyne,3453176944,276762
18,38,0,Prinz der Kelche.,Gayle Feyrer,2001,Heyne,3453185137,276762
18,39,0,Live aus Bagdad. Das Tagebuch einer Kriegs-Reporterin.,Antonia Rados,2003,Heyne,3453877241,276762
18,40,0,Durch TeebaumÃ?Â¶l gesund und schÃ?Â¶n.,Heidelore Kluge,1995,SÃ?Â¼dwest-Verlag,3517017442,276762
18,41,0,Briefe der Liebe.,Maria Nurowska,1995,"Fischer (Tb.), Frankfurt",3596125006,276762
19,42,0,Saving Private Ryan,Max Allan Collins,1998,Penguin Books Ltd,140279091,276772
19,43,7,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam,553572369,276772
19,44,0,Waiting for Godot,Samuel Beckett,0,Faber Faber Inc,571058086,276772
19,45,10,Adressat unbekannt.,Kathrine Kressmann Taylor,2002,Rowohlt Tb.,3499230933,276772
19,46,10,Henry der Held.,Roddy Doyle,2001,"Fischer (Tb.), Frankfurt",3596151465,276772
20,47,0,"East, West",Salman Rushdie,1995,Vintage Books,99543818,276774
20,48,0,Im Schatten der Lilie. Die Erinnerungen der Eleonore von Aquitanien.,Patrice Leavold,2002,LÃ?Â¼bbe,3404147723,276774
20,49,0,Die Teufelin. Roman.,Fay Weldon,1989,Dtv,3423111321,276774
20,50,9,Endlich Nichtraucher.,Allen Carr,1992,Goldmann,3442136644,276774
20,51,0,Ein Liebhaber zuviel ist noch zu wenig.,Gaby Hauptmann,2000,Piper,3492232000,276774
21,52,0,"Escarabajos Vuelan Al Atardecer, Los",Maria Gripe,1995,S &amp; M Books,8434811634,276780
22,53,0,Vieja Nueva York,Edith Wharton,2003,Planeta Pub Corp,842333533X,276786
22,54,0,Invitacion a la Etica,Fernando Savater,1995,Anagrama,8433914456,276786
22,55,8,Anna Karenina,Leo Tolstoy,1999,Ediciones Catedra S.A.,8437606322,276786
22,56,0,Cuentos Inconclusos,J. R. R. Tolkien,1998,Minotauro,8445072919,276786
22,57,0,Isabelle Eberhardt,Eglal Errera,1991,Circe,847765011X,276786
22,58,6,El Elogio de La Sombra,Tanazaki,1998,Siruela,8478442588,276786
23,59,8,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books,345443683,276788
23,60,7,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,043935806X,276788
24,60,10,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,043935806X,278356
23,61,10,False Memory,Dean R. Koontz,1999,Bantam Books,055310666X,276788
25,62,5,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),330332775,276796
26,62,10,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),330332775,277195
27,62,0,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),330332775,232
28,63,5,"My \Star Trek\"" Memories""",William Shatner,1993,HarperCollins Publishers,6379702,276798
28,64,0,Der Englishche Patient,Michael Ondaatje,0,Deutscher Taschenbuch Verlag (DTV),3423084049,276798
28,65,7,Ein Fall fÃ?Â¼r Kay Scarpetta / Ein Mord fÃ?Â¼r Kay Scarpetta. Zwei Romane in einem Band.,Patricia Cornwell,2001,Goldmann,3442131340,276798
28,66,0,Der GeschichtenverkÃ?Â¤ufer.,Jostein Gaarder,2002,Hanser Belletristik,3446202102,276798
28,67,0,Die Scheibenwelt. Zwei Romane in einem Band. Das Licht der Phantasie / Das Erbe des Zauberers.,Terry Pratchett,1993,Heyne,3453073398,276798
28,68,0,Tom Clancy's Op- Center. Spiegelbild.,Tom Clancy,1996,Heyne,3453115783,276798
28,69,0,Rabbit in Ruhe.,John Updike,1994,Rowohlt Tb.,3499134004,276798
28,70,0,Hasenherz. Roman.,John Updike,1976,Rowohlt Tb.,349915398X,276798
28,71,6,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg,3548603203,276798
29,71,0,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg,3548603203,277375
28,72,0,Nomadentochter.,Waris Dirie,2002,Blanvalet Verlag GmbH,3764501383,276798
28,73,0,Moby Dick. ( Ab 12 J.).,Herman Melville,2001,Dressler Verlag,3791535889,276798
30,74,0,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment,61054143,276800
31,74,0,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment,61054143,278100
30,75,0,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment,61054151,276800
30,76,0,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment,61056774,276800
30,77,0,"Blooded (Buffy the Vampire Slayer, Book 5)",Christopher Golden,1998,Simon Spotlight Entertainment,671021346,276800
30,78,0,Speaking in Tongues,Jeffery Deaver,2002,Pocket,671024108,276800
